iter	MultiClass
0	1.419205541
1	1.27111759
2	1.150501381
3	1.047879049
4	0.9617405774
5	0.8860390028
6	0.8184331811
7	0.7591977056
8	0.7063120166
9	0.657482977
10	0.6138226341
11	0.573491034
12	0.5370245863
13	0.5033630974
14	0.4729229826
15	0.4441400049
16	0.4176192601
17	0.3933195593
18	0.3703808093
19	0.3490903902
20	0.3296313626
21	0.3112735667
22	0.2941200885
23	0.2782480354
24	0.2630359677
25	0.2491169526
26	0.2358558702
27	0.2233766394
28	0.2115642293
29	0.2005154808
30	0.1902420383
31	0.1804201782
32	0.1711642222
33	0.1626001468
34	0.1543981938
35	0.1465993949
36	0.1392762891
37	0.1323248416
38	0.1257436506
39	0.1194935799
40	0.1137178734
41	0.108144881
42	0.1029569828
43	0.09798797171
44	0.09325061251
45	0.08874950007
46	0.08450475159
47	0.08047950758
48	0.07673820789
49	0.07303754228
50	0.06962436639
51	0.06639932772
52	0.06328426879
53	0.06035530339
54	0.05756245893
55	0.05489173814
56	0.05235875688
57	0.04994556899
58	0.04766889283
59	0.04545816793
60	0.04338026816
61	0.04142930662
62	0.03959320346
63	0.03784992113
64	0.03614769304
65	0.03457465493
66	0.03305434757
67	0.03161920145
68	0.03021146167
69	0.02888474332
70	0.0276372751
71	0.02643016205
72	0.02529718787
73	0.02419482446
74	0.02317342436
75	0.02217693012
76	0.02125701017
77	0.02033913015
78	0.01958208193
79	0.01876109168
80	0.01796325795
81	0.01721449974
82	0.01652511104
83	0.01585178664
84	0.01521146589
85	0.01460127049
86	0.01399949212
87	0.01345505732
88	0.01298242815
89	0.01247677765
90	0.01199809304
91	0.01153703106
92	0.01113163951
93	0.01071735985
94	0.0103156405
95	0.009974757031
96	0.009618375783
97	0.009262230583
98	0.008961979113
99	0.008639230904
100	0.008379106432
101	0.008086963758
102	0.007800106238
103	0.007530239359
104	0.007301767373
105	0.007073449801
106	0.00682399577
107	0.00661842356
108	0.006389294162
109	0.006178763242
110	0.005971465643
111	0.005772371796
112	0.005580073089
113	0.005410860688
114	0.005252662134
115	0.005093625058
116	0.004938407705
117	0.004779567137
118	0.004648548258
119	0.004506932017
120	0.004400465623
121	0.004268551082
122	0.004168473204
123	0.004046961141
124	0.003954599484
125	0.003864405125
126	0.003762219812
127	0.003663794344
128	0.003574348706
129	0.003475040641
130	0.003401842163
131	0.003304701974
132	0.003227020542
133	0.003156734553
134	0.00309600727
135	0.003014476148
136	0.002935638054
137	0.002858069353
138	0.002785321213
139	0.002706476367
140	0.002650751069
141	0.002603898873
142	0.002540466607
143	0.002478459669
144	0.002419274589
145	0.002357908922
146	0.002311994799
147	0.002262526493
148	0.002220430085
149	0.002173874673
150	0.002127030327
151	0.00208902749
152	0.00205734622
153	0.002015738024
154	0.001980400345
155	0.001953207574
156	0.001918650298
157	0.001879078168
158	0.001837709108
159	0.001812853299
160	0.001784432409
161	0.001746633446
162	0.001712856772
163	0.001680205675
164	0.001653378956
165	0.001622035258
166	0.001597573148
167	0.001568258647
168	0.001536368579
169	0.001510292477
170	0.001492585334
171	0.001470085799
172	0.001452158709
173	0.001428606682
174	0.001404379342
175	0.001388939271
176	0.0013715498
177	0.001347680294
178	0.001324418467
179	0.001303682695
180	0.001281763904
181	0.001265484459
182	0.001250068627
183	0.001234313492
184	0.001215112312
185	0.001196208871
186	0.001181156995
187	0.001162655012
188	0.001151766164
189	0.001138178054
190	0.001122081526
191	0.001112423704
192	0.001097643665
193	0.001081248491
194	0.001065637977
195	0.001049749394
196	0.001034829267
197	0.001020507304
198	0.001005979285
199	0.0009898903166
200	0.0009811745053
201	0.0009675431584
202	0.0009599951259
203	0.0009475316572
204	0.0009370757364
205	0.0009300190577
206	0.000917879528
207	0.0009086371854
208	0.0008970296739
209	0.000888842866
210	0.0008799264996
211	0.0008712410158
212	0.0008626388528
213	0.000854400425
214	0.0008438080269
215	0.0008381335496
216	0.0008282347667
217	0.0008204896657
218	0.0008144239216
219	0.0008041163231
220	0.0007989341902
221	0.0007928309187
222	0.0007829500721
223	0.0007760051105
224	0.0007669612773
225	0.0007590260293
226	0.0007521866372
227	0.000745589652
228	0.0007378268672
229	0.0007314550733
230	0.000723552622
231	0.0007173310375
232	0.0007094677718
233	0.0007040542262
234	0.0006963309254
235	0.0006910403453
236	0.00068361306
237	0.000678029844
238	0.0006738855105
239	0.000666795146
240	0.0006616005706
241	0.00065695968
242	0.0006501937788
243	0.0006434569981
244	0.0006394912446
245	0.0006352029774
246	0.0006288736711
247	0.0006246678539
248	0.0006184819097
249	0.0006123776165
250	0.0006078358426
251	0.0006044897927
252	0.0006000783794
253	0.0005952860479
254	0.0005895935089
255	0.0005849187512
256	0.0005807536205
257	0.0005756649745
258	0.0005716161568
259	0.0005663801608
260	0.0005635013032
261	0.0005583403986
262	0.0005547682713
263	0.0005497748618
264	0.0005460585228
265	0.0005412163005
266	0.0005379839472
267	0.0005350668534
268	0.0005304063686
269	0.0005263270734
270	0.0005229106494
271	0.0005184436517
272	0.0005151699253
273	0.000511530192
274	0.0005064876155
275	0.0005038946053
276	0.0005007497727
277	0.0004980332043
278	0.0004953541963
279	0.0004910891869
280	0.0004884880639
281	0.0004845488063
282	0.000482536646
283	0.0004786995988
284	0.0004759019963
285	0.0004727476918
286	0.000470335619
287	0.0004682229716
288	0.0004645811429
289	0.0004609363683
290	0.000458333971
291	0.0004544552057
292	0.0004527867719
293	0.0004503082985
294	0.0004478656716
295	0.0004454089666
296	0.0004421820709
297	0.0004392847273
298	0.000436000783
299	0.0004341642313
300	0.0004309150067
301	0.0004286234391
302	0.0004255497874
303	0.0004237975343
304	0.0004217851772
305	0.0004198313168
306	0.0004169905985
307	0.000414827757
308	0.0004131775963
309	0.00041040153
310	0.0004083146826
311	0.0004062155704
312	0.0004037302636
313	0.0004013345571
314	0.000399839978
315	0.0003981195814
316	0.0003954485098
317	0.0003935281607
318	0.0003920506275
319	0.0003900566586
320	0.0003883652257
321	0.0003865602779
322	0.0003840044021
323	0.0003813173159
324	0.0003797550622
325	0.000378383864
326	0.0003767953809
327	0.0003754608539
328	0.0003743381793
329	0.0003725766478
330	0.000371466936
331	0.0003699110816
332	0.0003686636924
333	0.0003675943256
334	0.0003659605084
335	0.0003635158445
336	0.0003619622445
337	0.0003605807989
338	0.000359521688
339	0.0003577925166
340	0.0003564459393
341	0.0003551790383
342	0.0003535107403
343	0.0003524850429
344	0.0003511267733
345	0.0003498178299
346	0.000348486074
347	0.0003474273808
348	0.000346371907
349	0.0003454476646
350	0.000343232467
351	0.0003423756705
352	0.0003413536173
353	0.0003399566071
354	0.0003379369641
355	0.0003359143827
356	0.0003347432163
357	0.0003337195518
358	0.0003325693329
359	0.0003312100719
360	0.0003294461092
361	0.000327814783
362	0.0003269819047
363	0.0003259217345
364	0.0003251091597
365	0.0003240181672
366	0.0003220496526
367	0.0003201049508
368	0.000318264637
369	0.000317214634
370	0.0003155325882
371	0.000313762415
372	0.0003127260837
373	0.0003117144693
374	0.0003105426197
375	0.000309549833
376	0.0003083472129
377	0.0003065437787
378	0.0003055787084
379	0.0003040342038
380	0.0003022918487
381	0.0003013500861
382	0.000299996632
383	0.0002984875893
384	0.0002966962035
385	0.0002954949148
386	0.0002945206001
387	0.000293469148
388	0.0002927654988
389	0.0002920580095
390	0.0002912888478
391	0.0002904174332
392	0.0002888296859
393	0.0002879728867
394	0.0002871234242
395	0.0002855596424
396	0.000284951524
397	0.0002842192464
398	0.0002828001002
399	0.0002812806527
400	0.0002804700131
401	0.0002794132084
402	0.0002779124468
403	0.0002770683221
404	0.0002762831823
405	0.0002746724196
406	0.0002739926149
407	0.0002731292442
408	0.0002718007496
409	0.0002703966274
410	0.0002690095478
411	0.000268332943
412	0.0002676832049
413	0.0002670652864
414	0.0002658993485
415	0.0002651779452
416	0.0002639920949
417	0.0002626548523
418	0.0002613313176
419	0.0002600520419
420	0.0002595053358
421	0.0002589902163
422	0.0002582542239
423	0.0002569949591
424	0.0002564138435
425	0.0002559078727
426	0.0002544703543
427	0.0002534861014
428	0.0002522551778
429	0.000251038387
430	0.000250402751
431	0.0002497581683
432	0.0002490340187
433	0.0002484208185
434	0.00024735331
435	0.0002468016884
436	0.0002460451849
437	0.0002453056478
438	0.0002448542039
439	0.000243726613
440	0.0002425989173
441	0.0002421457753
442	0.0002408958793
443	0.0002402911104
444	0.0002391028718
445	0.0002380151273
446	0.0002374946819
447	0.0002364044353
448	0.0002353352508
449	0.0002348821231
450	0.0002343960333
451	0.0002337573082
452	0.000232849824
453	0.0002315986764
454	0.0002309175064
455	0.0002305201239
456	0.0002295077853
457	0.0002287427283
458	0.0002276873541
459	0.0002267501391
460	0.0002259535936
461	0.0002251800934
462	0.0002243968342
463	0.0002240088985
464	0.0002234890134
465	0.0002230360713
466	0.0002221679181
467	0.0002215541814
468	0.0002211777785
469	0.000220296606
470	0.0002196943365
471	0.0002187474993
472	0.0002181534187
473	0.0002172831253
474	0.0002167952437
475	0.0002161945217
476	0.0002158166131
477	0.0002153289161
478	0.0002149719464
479	0.0002144973855
480	0.0002141476414
481	0.0002136781434
482	0.0002128318943
483	0.0002124209321
484	0.0002119593943
485	0.0002112509182
486	0.0002103942897
487	0.0002095371223
488	0.0002086979327
489	0.000208308677
490	0.0002075251887
491	0.0002071495388
492	0.0002067088853
493	0.0002063668365
494	0.0002059307459
495	0.0002056064593
496	0.0002047970384
497	0.0002044874148
498	0.0002041682733
499	0.000203742649
