mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_l1_ratio,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.641746997833252,0.10479186090244652,0.0020014762878417967,0.0006336924969564217,elasticnet,0.6842105263157894,5.963623316594637,"{'penalty': 'elasticnet', 'l1_ratio': 0.6842105263157894, 'C': 5.963623316594637}",0.9353925333713243,0.9569263917145477,0.9611840187304105,0.9587893974545248,0.9548413631866203,0.9534267408914856,0.009256509038345677,1
2.3366965293884276,0.3141846830992041,0.004485416412353516,0.0025590290557259607,,0.8421052631578947,18.420699693267164,"{'penalty': None, 'l1_ratio': 0.8421052631578947, 'C': 18.420699693267164}",0.9313400049100051,0.9589058388390461,0.9652223259599391,0.9589874448340222,0.9504898808397437,0.9529890990765513,0.011794652782094713,3
0.007470703125,0.003916057331353701,0.0024149417877197266,0.0009681797290146345,l1,0.7894736842105263,0.0016768329368110084,"{'penalty': 'l1', 'l1_ratio': 0.7894736842105263, 'C': 0.0016768329368110084}",0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,28
0.025028800964355467,0.012872478985021786,0.0018015384674072265,0.0005099849401641648,elasticnet,0.15789473684210525,0.009102981779915217,"{'penalty': 'elasticnet', 'l1_ratio': 0.15789473684210525, 'C': 0.009102981779915217}",0.8261236003757455,0.8126633493501939,0.81004098900318,0.8065401041610816,0.8339455602889252,0.8178627206358252,0.010424149430220738,23
0.0333134651184082,0.018642387577925273,0.0019017696380615235,0.001805115703395483,elasticnet,0.10526315789473684,0.005179474679231213,"{'penalty': 'elasticnet', 'l1_ratio': 0.10526315789473684, 'C': 0.005179474679231213}",0.7073732212652267,0.715627147845878,0.7112370048003522,0.7277228578716936,0.7178008564797737,0.7159522176525849,0.006897876750370148,24
2.421371269226074,0.16020540919477477,0.0028021812438964845,0.0019655178288412113,,0.6842105263157894,0.003906939937054617,"{'penalty': None, 'l1_ratio': 0.6842105263157894, 'C': 0.003906939937054617}",0.9313400049100051,0.9589058388390461,0.9652223259599391,0.9589874448340222,0.9504898808397437,0.9529890990765513,0.011794652782094713,3
3.6286076068878175,0.33060817994469877,0.0035247325897216795,0.0015463816645402907,l1,0.15789473684210525,56.89866029018293,"{'penalty': 'l1', 'l1_ratio': 0.15789473684210525, 'C': 56.89866029018293}",0.9313400049100051,0.9589058388390461,0.9652223259599391,0.9589874448340222,0.9504898808397437,0.9529890990765513,0.011794652782094713,3
2.3498918533325197,0.2978402503496437,0.0055024147033691405,0.0016404288374916125,l1,0.6842105263157894,4.498432668969444,"{'penalty': 'l1', 'l1_ratio': 0.6842105263157894, 'C': 4.498432668969444}",0.9312287573462369,0.954867659310695,0.9633105901748603,0.9629129526545361,0.9526742368920015,0.9529988392756659,0.01168037818686526,2
0.028026771545410157,0.00877724292380773,0.004618597030639648,0.0021218580674636466,elasticnet,0.47368421052631576,0.028117686979742307,"{'penalty': 'elasticnet', 'l1_ratio': 0.47368421052631576, 'C': 0.028117686979742307}",0.9218733785513487,0.9081809158182105,0.9120696172015276,0.8978068297638843,0.9342527613809919,0.9148367005431925,0.012397346289690837,21
0.061597347259521484,0.013068518122839476,0.0026163101196289063,0.0014724578387201202,l2,0.10526315789473684,0.20235896477251575,"{'penalty': 'l2', 'l1_ratio': 0.10526315789473684, 'C': 0.20235896477251575}",0.9251516326523063,0.9462740046539703,0.9450190947981817,0.9260792269930943,0.9573121540563815,0.9399672226307867,0.012478154409088308,19
0.006763315200805664,0.003275538728873217,0.0022971630096435547,0.0018928567196041292,elasticnet,0.8421052631578947,0.00040949150623804275,"{'penalty': 'elasticnet', 'l1_ratio': 0.8421052631578947, 'C': 0.00040949150623804275}",0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,28
0.024972820281982423,0.008074411217623733,0.004536104202270508,0.0028783777592528816,elasticnet,0.47368421052631576,0.006866488450042998,"{'penalty': 'elasticnet', 'l1_ratio': 0.47368421052631576, 'C': 0.006866488450042998}",0.6823275789014778,0.6869024387481324,0.6755255119777356,0.6863502279428497,0.6801629471944902,0.6822537409529371,0.004196129944968896,25
0.017136335372924805,0.007096091616137401,0.0024031639099121095,0.0015284583120291568,elasticnet,0.10526315789473684,0.00030888435964774815,"{'penalty': 'elasticnet', 'l1_ratio': 0.10526315789473684, 'C': 0.00030888435964774815}",0.23239566859384858,0.23275774021275308,0.23438069256447577,0.23294525294525292,0.2325745519961254,0.23301078126249114,0.0007090331834937501,27
0.024269914627075194,0.01279665803649558,0.001901721954345703,0.0019089131888333222,elasticnet,0.5263157894736842,0.015998587196060572,"{'penalty': 'elasticnet', 'l1_ratio': 0.5263157894736842, 'C': 0.015998587196060572}",0.8886720440221647,0.869188464230859,0.8700565534247523,0.8617829913745579,0.8908464335204095,0.8761092973145486,0.011530676211253052,22
3.0736527919769285,0.13747164911130927,0.0022272586822509764,0.0012191327562706968,,0.6842105263157894,0.15264179671752334,"{'penalty': None, 'l1_ratio': 0.6842105263157894, 'C': 0.15264179671752334}",0.9313400049100051,0.9589058388390461,0.9652223259599391,0.9589874448340222,0.9504898808397437,0.9529890990765513,0.011794652782094713,3
2.7561270713806154,0.43423684172144683,0.0023010730743408202,0.0016617566480929672,l1,0.05263157894736842,18.420699693267164,"{'penalty': 'l1', 'l1_ratio': 0.05263157894736842, 'C': 18.420699693267164}",0.9313878935293223,0.9546850968662924,0.9652866907270442,0.9609530702303851,0.9504898808397437,0.9525605264385575,0.011742842976066927,15
2.759840202331543,0.26733677779801546,0.005512619018554687,0.0017052028973328303,,0.631578947368421,5.963623316594637,"{'penalty': None, 'l1_ratio': 0.631578947368421, 'C': 5.963623316594637}",0.9313400049100051,0.9589058388390461,0.9652223259599391,0.9589874448340222,0.9504898808397437,0.9529890990765513,0.011794652782094713,3
2.9201629638671873,0.34213477497303674,0.004237222671508789,0.003304845060576361,,0.47368421052631576,2.559547922699533,"{'penalty': None, 'l1_ratio': 0.47368421052631576, 'C': 2.559547922699533}",0.9313400049100051,0.9589058388390461,0.9652223259599391,0.9589874448340222,0.9504898808397437,0.9529890990765513,0.011794652782094713,3
